prior,update_form,detection_rate,mean_n_missions,median_n_missions,mean_cost_used,mean_final_p_true,mean_final_entropy,n_trials,round,split
EB_r01_bw1.75_u05,lik_x2,0.44166666666666665,6.6,9.0,405.51666666666665,0.004718408622690006,5.93066638570445,120,1,train
P4_quadratic_wit_informative,std,0.44166666666666665,8.308333333333334,12.0,395.9166666666667,0.0022043503396091124,6.711581994041115,120,1,train
P4_quadratic_wit_informative,lik_x2,0.44166666666666665,8.491666666666667,12.0,377.1166666666667,0.0020930547623853606,6.689919392880669,120,1,train
P3_quadratic_nowit_informative,std,0.44166666666666665,8.516666666666667,12.0,410.55833333333334,0.0019995234955397004,6.71762219847729,120,1,train
P5_mixed_nowit_informative,std,0.44166666666666665,6.616666666666666,9.0,410.46666666666664,0.001752398083476303,6.853491148194252,120,1,train
P5_mixed_nowit_informative,explore_x1_5,0.44166666666666665,6.616666666666666,9.0,410.46666666666664,0.0016817533861332723,6.835802574612499,120,1,train
P5_mixed_nowit_informative,lik_x1_5,0.44166666666666665,6.616666666666666,9.0,410.46666666666664,0.0016817533861332723,6.835802574612499,120,1,train
P5_mixed_nowit_informative,lik_x2,0.44166666666666665,6.616666666666666,9.0,410.46666666666664,0.001635597983408516,6.820565188828521,120,1,train
P4_quadratic_wit_informative,explore_x1_5,0.43333333333333335,8.575,12.0,371.48333333333335,0.002081911136844928,6.714857035994864,120,1,train
P4_quadratic_wit_informative,lik_x1_5,0.43333333333333335,8.575,12.0,371.48333333333335,0.002081911136844928,6.714857035994864,120,1,train
EB_r01_bw4.5_u20,soft_x0_75,0.43333333333333335,8.291666666666666,12.0,399.1333333333333,0.002075360493110671,6.838612552542925,120,1,train
EB_r01_bw4.5_u20,std,0.43333333333333335,8.291666666666666,12.0,399.1333333333333,0.00202543724562259,6.841749815624664,120,1,train
EB_r01_bw4.5_u20,lik_x1_5,0.43333333333333335,8.291666666666666,12.0,399.1333333333333,0.001955624351967397,6.8352701331507495,120,1,train
EB_r01_bw4.5_u20,explore_x1_5,0.43333333333333335,8.291666666666666,12.0,398.56666666666666,0.0019554660819970666,6.836822632566519,120,1,train
EB_r01_bw4.5_u20,lik_x2,0.43333333333333335,8.291666666666666,12.0,399.1333333333333,0.0019102190105680413,6.825072435063247,120,1,train
P3_quadratic_nowit_informative,lik_x2,0.43333333333333335,8.708333333333334,12.0,392.3833333333333,0.0017598337259824698,6.695342958921222,120,1,train
P6_mixed_wit_informative,std,0.43333333333333335,7.158333333333333,10.0,399.95,0.001493206623822232,7.002131169953818,120,1,train
P9_mixed_wit_uniform30,soft_x0_75,0.43333333333333335,5.833333333333333,8.0,378.6,0.001254994996835298,7.250638283361124,120,1,train
P9_mixed_wit_uniform30,std,0.43333333333333335,5.833333333333333,8.0,378.6,0.0012337312776635639,7.248713318898646,120,1,train
P9_mixed_wit_uniform30,explore_x1_5,0.43333333333333335,4.658333333333333,6.0,389.53333333333336,0.0012300910845033587,7.240605798096962,120,1,train
P9_mixed_wit_uniform30,lik_x1_5,0.43333333333333335,4.658333333333333,6.0,389.53333333333336,0.0012300910845033587,7.240605798096962,120,1,train
P9_mixed_wit_uniform30,lik_x2,0.43333333333333335,4.658333333333333,6.0,389.53333333333336,0.0012107139504695678,7.231255598550387,120,1,train
P7_mixed_wit_weak,soft_x0_75,0.425,7.183333333333334,10.0,408.2583333333333,0.0023975116917837394,6.736514022944179,120,1,train
P7_mixed_wit_weak,std,0.425,7.183333333333334,10.0,408.2583333333333,0.002342666343342444,6.738311182081221,120,1,train
P7_mixed_wit_weak,lik_x1_5,0.425,7.183333333333334,10.0,408.2583333333333,0.002249078669933655,6.731255946814253,120,1,train
P7_mixed_wit_weak,explore_x1_5,0.425,7.175,10.0,408.075,0.0022487069289956344,6.731099533266394,120,1,train
P7_mixed_wit_weak,lik_x2,0.425,7.183333333333334,10.0,408.2583333333333,0.002174874687612049,6.721988953951314,120,1,train
P6_mixed_wit_informative,lik_x1_5,0.425,8.35,12.0,403.68333333333334,0.0014242588846130383,6.99104966801645,120,1,train
P6_mixed_wit_informative,lik_x2,0.425,8.35,12.0,403.68333333333334,0.001388093607095837,6.977183092920989,120,1,train
P6_mixed_wit_informative,soft_x0_75,0.4166666666666667,7.208333333333333,10.0,387.3666666666667,0.0015197304134873862,6.997720073128813,120,1,train
P5_mixed_nowit_informative,soft_x0_75,0.4083333333333333,7.808333333333334,11.0,409.4583333333333,0.0018104656462210465,6.858646372587547,120,1,train
P6_mixed_wit_informative,explore_x1_5,0.4083333333333333,5.575,7.0,403.56666666666666,0.0014207047120988927,6.991157904951671,120,1,train
P10_mixed_wit_uniform50_temp2,soft_x0_75,0.38333333333333336,5.508333333333334,7.0,415.68333333333334,0.0009695163986638857,7.357444546673987,120,1,train
P10_mixed_wit_uniform50_temp2,std,0.38333333333333336,5.508333333333334,7.0,415.68333333333334,0.0009440904073042672,7.352108867532831,120,1,train
P10_mixed_wit_uniform50_temp2,explore_x1_5,0.38333333333333336,5.508333333333334,7.0,415.68333333333334,0.0009114779843804225,7.340782330045077,120,1,train
